Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
1	51752930	51810788	TTC39A
9	131018108	131038274	GOLGA2
X	17818169	17879457	RAI2
12	68595131	68619601	IL26
10	71331454	71332994	NEUROG3
19	8478154	8503901	MARCH2
10	25305587	25315593	THNSL1
HSCHR6_MHC_APD	30015058	30017715	TRIM31
7	107268998	107269943	WBP1LP2
21	38431470	38445470	PIGP
1	206808881	206857764	DYRK3
4	25000469	25032501	LGI2
12	54891495	54937726	NCKAP1L
3	8792094	8811314	OXTR
HG79_PATCH	136227290	136232211	SURF1
17	47653220	47661189	NXPH3
10	126490354	126525239	FAM175B
11	3848208	3862213	RHOG
7	108150677	108151420	RPL7P32
11	60145955	60163424	MS4A7
1	24122089	24127271	GALE
5	80708840	81047616	SSBP2
14	66479548	66480507	YBX1P1
16	21807951	21831731	RRN3P1
15	66628544	66679084	TIPIN
6	10492456	10629601	GCNT2
22	30184597	30234271	ASCC2
12	121675497	121736111	CAMKK2
12	68642022	68647387	IL22
11	121232559	121233574	BMPR1APS2
16	848041	850733	GNG13
17	71279763	71308314	CDC42EP4
14	77893018	77924295	VIPAS39
16	29916333	29938356	KCTD13
3	136537489	136574734	SLC35G2
2	176040986	176049335	ATP5G3
12	88427623	88443937	C12orf29
5	112196919	112205485	SRP19
15	58430368	58478110	AQP9
15	32885657	32896179	GOLGA8N
17	21026677	21096578	DHRS7B
11	66384053	66394818	RBM14
2	229715242	230136001	PID1
3	173114074	174004434	NLGN1
1	44444615	44456840	B4GALT2
HSCHR6_MHC_APD	30056560	30065548	TRIM10
X	18257434	18372847	SCML2
1	206858289	206907628	MAPKAPK2
3	8817088	9005457	RAD18
6	160769300	160876014	SLC22A3
11	3875757	4114439	STIM1
11	64323098	64340347	SLC22A11
10	88853918	88951225	FAM35A
19	47978401	47987525	KPTN
HSCHR6_MHC_DBB	33021645	33032912	HLA-DPB1
HSCHR6_MHC_DBB	29523343	29600923	GABBR1
22	19338891	19435755	C22orf39
12	110890289	110907073	GPN3
20	46130601	46285621	NCOA3
19	55741148	55770363	PPP6R1
8	39601254	39695808	ADAM2
10	7745232	7791483	ITIH2
11	2185159	2193107	TH
20	62679076	62680994	SOX18
15	58702768	58861151	LIPC
18	24432002	24445782	AQP4
17	47676246	47755596	SPOP
16	903634	1031318	LMF1
3	141205889	141334184	RASA2
7	141463897	141464997	TAS2R3
10	134257831	134262912	C10orf91
7	40174575	40900362	SUGCT
6	25833294	25882514	SLC17A3
20	6055492	6104191	FERMT1
11	66384097	66434153	RBM4
3	136581050	136668665	NCK1
7	141478242	141479235	TAS2R4
4	170314426	170533780	NEK1
5	38938021	39074510	RICTOR
13	36047926	36050832	MAB21L1
6	52656462	52668708	GSTA1
X	120181462	120183794	GLUD2
22	19419425	19423598	MRPL40
3	50355221	50360337	HYAL2
10	29746267	30025710	SVIL
HSCHR6_MHC_APD	30067805	30077295	TRIM15
1	206940947	206945839	IL10
17	66507921	66547460	PRKAR1A
X	18443703	18671749	CDKL5
HSCHR6_MHC_DBB	30575727	30584413	MRPS18B
7	2767746	2883958	GNA12
X	81761883	81762261	RPL22P22
19	8509651	8553998	HNRNPM
3	158288952	158325041	MLF1
10	103544200	103578696	MGEA5
2	27650657	27665126	NRBP1
13	36345478	36705443	DCLK1
9	19230433	19374139	DENND4C
X	153607557	153609883	EMD
10	134351324	134596979	INPP5A
19	44080952	44088116	PINLYP
20	62681189	62703700	TCEA2
11	64889655	64894843	MRPL49
10	126676421	126849739	CTBP2
6	160952515	161087407	LPA
15	32907345	32932150	ARHGAP11A
X	122318006	122624766	GRIA3
6	75947391	75960039	COX7A2
6	35265595	35289548	DEF6
HG7_PATCH	142146452	142146952	TRBV10-2
19	41098789	41135725	LTBP4
1	206972215	207016324	IL19
14	21152259	21168761	RNASE4
15	42705021	42783321	ZNF106
7	144149034	144533488	TPK1
22	19437433	19466738	UFD1L
15	58887403	59042177	ADAM10
1	45805342	45809647	TOE1
19	19144384	19170563	ARMC6
19	44088521	44100287	IRGQ
10	26223196	26501456	MYO3A
17	4172554	4269923	UBE2G1
X	18658030	18690229	RS1
12	8071826	8088871	SLC2A3
11	12115543	12285334	MICAL2
1	150547032	150552066	MCL1
3	9022275	9404737	SRGAP3
10	71561644	71724031	COL13A1
HSCHR6_MHC_APD	30089025	30118001	TRIM26
19	44100544	44105309	ZNF576
1	51819935	51985000	EPS15
6	161123270	161174347	PLG
4	110661852	110723335	CFI
HG79_PATCH	136232087	136236704	SURF2
17	73262309	73267308	MIF4GD
11	111222977	111326355	POU2AF1
2	230628554	230787955	TRIP12
15	66679155	66784650	MAP2K1
14	34901995	34931562	SPTSSA
3	167453031	167543356	SERPINI1
17	21100593	21117937	TMEM11
2	103236166	103327777	SLC9A2
1	207070788	207077484	IL24
6	33282183	33285719	ZBTB22
14	34985135	35008916	EAPP
X	77320685	77384793	PGK1
2	176788620	176867567	KIAA1715
16	1122756	1131454	SSTR5
8	17721889	17767874	FGL1
5	141371314	141392606	GNPDA1
14	97263641	97398059	VRK1
22	30279144	30426855	MTMR3
12	120105558	120119435	PRKAB1
X	18694029	18846039	PPEF1
3	138823027	138844009	BPESC1
3	182840001	182881627	LAMP3
1	24128375	24165110	HMGCL
2	202047604	202094129	CASP10
6	24424793	24495433	GPLD1
13	36742345	36871979	SOHLH2
7	141607613	141806547	MGAM
12	68666223	68726161	MDM1
1	45809555	45956872	TESK2
11	66384097	66413940	RBM14-RBM4
15	59063391	59154099	FAM63B
15	66782473	66790151	SNAPC5
14	21152336	21167130	ANG
11	4115937	4160106	RRM1
4	74347400	74369691	AFM
12	56732663	56734193	IL23A
21	38445526	38575413	TTC3
HG7_PATCH	142339652	142340105	TRBV16
6	41651716	41703997	TFEB
2	182321929	182400914	ITGA4
X	153618315	153637504	RPL10
19	55773599	55791749	HSPBP1
18	25530930	25757410	CDH2
19	19174808	19223697	SLC25A42
14	64854749	64926722	MTHFD1
11	66432469	66445392	RBM4B
14	21214051	21216539	EDDM3A
HSCHR6_MHC_COX	33089852	33093846	SLC39A7
11	64948037	64979477	CAPN1
14	21236586	21239107	EDDM3B
20	6748311	6760927	BMP2
1	207077731	207096592	FAIM3
2	120978854	120980984	TMEM185B
6	33286335	33297046	DAXX
2	203776937	203851786	CARF
19	42460833	42463542	RABAC1
3	65339200	66024509	MAGI1
14	21249210	21250626	RNASE6
11	111338251	111383079	BTG4
7	137559725	137686813	CREB3L2
12	56735381	56753939	STAT2
HSCHR6_MHC_APD	30302488	30322825	TRIM39
18	55018044	55038962	ST8SIA3
14	21269387	21271437	RNASE1
9	131084815	131096351	COQ4
HSCHR6_MHC_COX	31853114	31901001	C2
2	120997640	121052289	RALB
10	76969912	76991206	VDAC2
1	24171567	24194784	FUCA1
16	1203241	1271771	CACNA1H
10	44051792	44070066	ZNF239
19	19229978	19249322	TMEM161A
18	55102917	55158529	ONECUT2
20	62704534	62711323	RGS19
14	35030300	35099389	SNX6
17	71330523	71640228	SDK2
9	19375713	19380252	RPS6
12	50260679	50298000	FAIM2
HSCHR6_MHC_QBL	30557688	30575899	PPP1R10
11	64373646	64490660	NRXN2
5	112212084	112258236	REEP5
1	150573327	150602088	ENSA
15	59157374	59389618	RNF111
2	74756504	74760472	HTRA2
11	66452719	66496697	SPTBN2
16	29984962	30003582	TAOK2
18	55215515	55254004	FECH
3	141457046	141466402	RNF7
8	17780349	17885478	PCM1
6	161412759	161538417	MAP3K4
3	185764097	185828107	ETV5
20	62711526	62731996	OPRL1
3	129247483	129254012	RHO
X	18910418	19002716	PHKA2
5	94799599	94890711	TTC37
3	50357458	50365682	TUSC2
19	47990894	48018497	NAPA
1	207101863	207119811	PIGR
6	27253682	27279949	POM121L2
15	66790355	66816870	RPL4
4	110736666	110745893	GAR1
6	46671938	46703430	PLA2G7
1	24197016	24285549	CNR2
15	32933877	32989299	SCG5
HSCHR6_MHC_COX	31485454	31501810	DDX39B
6	27342394	27371683	ZNF391
3	13521224	13547916	HDAC11
17	37844167	37886679	ERBB2
1	24285599	24289952	PNRC2
HSCHR6_MHC_APD	30321146	30322899	RPP21
11	60197062	60222687	MS4A5
HSCHR6_MHC_COX	32080837	32084535	EGFL8
20	62737173	62738524	NPBWR2
3	167726465	167813763	GOLIM4
2	69546905	69614382	GFPT1
3	113724680	113807269	QTRTD1
9	19507450	19786926	SLC24A2
15	101459420	101610317	LRRK1
3	50367219	50378411	RASSF1
6	27418522	27440897	ZNF184
19	42470734	42501649	ATP1A3
22	30636436	30642840	LIF
4	110749150	110765760	RRH
20	62783144	62873604	MYT1
5	157052687	157098488	SOX30
2	1635659	1748624	PXDN
6	41704449	41721847	PGC
HG256_PATCH	13984236	14289351	SPON1
17	21187984	21218552	MAP2K3
2	121103719	121109384	INHBB
11	60223225	60238233	MS4A1
22	30658818	30662829	OSM
16	68263014	68272005	ESRP2
2	96940074	96971297	SNRNP200
10	91461367	91534700	KIF20B
HSCHR6_MHC_DBB	31072775	31074111	C6orf15
6	27775257	27775709	HIST1H2BL
2	16061159	16082371	MYCNOS
19	59084870	59111168	CENPBD1P1
17	26833261	26865914	FOXN1
19	44111371	44124026	ZNF428
HG256_PATCH	14299511	14386053	RRAS2
HSCHR6_MHC_DBB	31076302	31101556	PSORS1C1
10	49654077	49864310	ARHGAP22
6	37137979	37143202	PIM1
HSCHR6_MHC_APD	30517400	30529581	GNL1
18	28569974	28622781	DSC3
19	44126520	44143991	CADM4
5	68788119	68853931	OCLN
9	20341663	20622542	MLLT3
4	170533784	170644824	CLCN3
7	41724712	41742706	INHBA
6	106534195	106557814	PRDM1
HG79_PATCH	136236984	136251634	SURF4
11	60260251	60274903	MS4A12
12	50344524	50352664	AQP2
13	36875775	36944317	SPG20
15	42783431	42837547	SNAP23
17	26873725	26879686	UNC119
2	44589089	44999731	CAMKMT
16	1271651	1275257	TPSG1
2	121493199	121750229	GLI2
11	65029233	65073060	POLA2
1	207191866	207206101	C1orf116
10	116853124	117708503	ATRNL1
9	131133598	131153015	URM1
11	818902	825573	PNPLA2
HSCHR6_MHC_DBB	33108368	33138186	COL11A2
8	92967203	93115514	RUNX1T1
19	44150247	44174699	PLAUR
16	1277272	1280214	TPSB2
20	62887094	62926855	PCMTD2
1	1146706	1149518	TNFRSF4
1	207217194	207226325	YOD1
15	59171244	59225852	SLTM
15	33010175	33026870	GREM1
17	8062467	8066864	VAMP2
HSCHR6_MHC_APD	30635497	30649062	DHX16
HG7_PATCH	142461162	142461662	TRBV28
3	9439299	9520924	SETD5
HSCHR6_MHC_DBB	31076642	31081981	CDSN
1	24291294	24307417	SRSF10
17	79495422	79504156	FSCN2
12	120123595	120315095	CIT
3	129274018	129325661	PLXND1
HG7_PATCH	142489985	142493589	PRSS1
4	110834040	110933422	EGF
Y	21865751	21906825	KDM5D
7	34980372	34980446	MIR548N
2	103332299	103353347	MFSD9
5	157158205	157168456	THG1L
12	50355653	50359464	AQP5
3	136665072	136729927	IL20RB
HSCHR6_MHC_DBB	30584860	30604840	ATAT1
6	35310335	35395968	PPARD
6	145822719	146057160	EPM2A
HSCHR6_MHC_COX	33094049	33096234	HSD17B8
6	161551011	161695093	AGPAT4
7	115221369	115221496	SNORA25
1	1152288	1167411	SDF4
13	37005967	37017019	CCNA1
9	131174030	131199626	CERCAM
1	150618701	150669630	GOLPH3L
3	141594966	141645356	ATP1B3
5	127593601	127994878	FBN2
12	8185299	8208099	FOXJ2
HSCHR6_MHC_QBL	30574996	30583682	MRPS18B
HSCHR6_MHC_DBB	31099052	31100868	PSORS1C2
16	1290697	1292555	TPSAB1
19	48111453	48206533	GLTSCR1
11	65082289	65089900	CDC42EP2
12	50360977	50370922	AQP6
7	99690351	99699563	MCM7
1	207222801	207254369	PFKFB2
19	44220162	44224173	IRGC
8	39759794	39785963	IDO1
3	158362067	158410364	GFM1
15	101715928	101792137	CHSY1
11	65101225	65120720	DPF2
3	176737143	176915261	TBL1XR1
7	3341080	4308632	SDK1
6	27775899	27776429	HIST1H2AI
22	30687979	30723035	TBC1D10A
10	33466420	33625190	NRP1
16	30003645	30007757	HIRIP3
16	68279207	68294961	PLA2G15
18	55267888	55289445	NARS
12	56498103	56507691	PA2G4
20	1645929	1688846	SIRPB3P
6	106632351	106773666	ATG5
3	137483579	137484396	SOX14
10	103585731	103603677	KCNIP2
HSCHR6_MHC_DBB	31103949	31119721	CCHCR1
10	95256389	95288849	CEP55
HG7_PATCH	142615936	142632056	EPHB6
4	170650616	170679104	C4orf27
7	42000548	42277469	GLI3
12	8210898	8219067	C3AR1
16	1306060	1308532	TPSD1
11	111473115	111601577	SIK2
19	44235301	44259142	SMG9
2	31133333	31378068	GALNT14
19	48216600	48246391	EHD2
3	137717577	137752494	CLDN18
18	28645940	28682378	DSC2
13	37393361	37403241	RFXAP
17	37007777	37007912	SNORA21
17	37009116	37009247	SNORA21
17	27277531	27384234	PIPOX
14	99635624	99737861	BCL11B
5	112227313	112228791	ZRSR1
9	20658308	20995954	FOCAD
7	76139745	76648340	UPK3B
6	161768452	163148803	PARK2
13	37418968	37494902	SMAD9
6	33359313	33377701	KIFC1
6	27777842	27778314	HIST1H3H
8	144451057	144466390	RHPN1
4	25162263	25280714	PI4K2B
3	168801287	169381406	MECOM
6	27782112	27782607	HIST1H2AJ
2	189896622	190044605	COL5A2
17	44352150	44439130	ARL17B
6	27782822	27783267	HIST1H2BM
21	38595721	38640262	DSCR3
19	19256377	19303400	MEF2B
17	40719086	40725257	MLX
6	27791884	27792257	HIST1H4J
7	145813453	148118090	CNTNAP2
14	64915824	64971931	ZBTB25
16	1355548	1377019	UBE2I
20	4040280	4040760	RPL21P2
11	12398732	12552348	PARVA
3	42798669	42846023	HIGD1A
11	2289725	2292182	ASCL2
20	4610073	4610865	RPS4XP2
11	66511922	66610987	C11orf80
22	30727977	30752936	SF3A1
4	25314407	25372005	ZCCHC4
13	37523912	37574398	ALG5
11	111597632	111637151	PPP2R1B
12	8234807	8250367	NECAP1
2	176957619	176960666	HOXD13
12	110906169	110928190	FAM216A
11	4406127	4414926	TRIM21
HSCHR6_MHC_COX	31662096	31673108	LY6G6D
HSCHR6_MHC_COX	33097900	33102125	RING1
2	176964458	176966408	HOXD12
HSCHR6_MHC_QBL	30584129	30604110	ATAT1
22	19466982	19508135	CDC45
X	153629579	153640449	DNASE1L1
6	27806323	27823487	HIST1H2BN
HSCHR6_MHC_APD	30675831	30693912	MDC1
11	2316875	2324279	C11orf21
7	137687070	137802732	AKR1D1
15	59397277	59417244	CCNB2
18	55313658	55470333	ATP8B1
1	207262187	207273338	C4BPB
6	27805658	27806117	HIST1H2AK
6	35420138	35434880	FANCE
X	51804923	51812368	MAGED4B
7	42948325	42951904	C7orf25
2	198364718	198368181	HSPE1
5	157212751	157286183	CLINT1
5	81267844	81572676	ATG10
20	7863628	7921121	HAO1
16	55794460	55828070	CES1P1
10	89264632	89313217	MINPP1
10	95351444	95361501	RBP4
6	163148164	163736524	PACRG
16	68298433	68335722	SLC7A6
10	44139307	44144304	ZNF32
12	50370706	50426919	RACGAP1
20	6181636	6182838	TARDBPP1
14	21359558	21360507	RNASE3
2	176968944	176974722	HOXD11
14	35179593	35184029	CFL2
14	21423611	21424595	RNASE2
11	4619902	4629489	TRIM68
6	27833034	27833606	HIST1H2AL
13	37572953	37583750	EXOSC8
11	832843	839831	CD151
17	61627822	61671639	DCAF7
20	7957995	8000476	TMX4
10	44793038	44881941	CXCL12
3	141663277	141868386	TFDP2
6	52761437	52774483	GSTA3
3	132316081	132337811	ACKR4
6	27834570	27835359	HIST1H1B
15	33603163	34158303	RYR3
11	65154070	65180996	FRMD8
8	144501352	144512576	MAFA
2	176973518	176984670	HOXD10
6	27839623	27840099	HIST1H3I
11	60609544	60618554	CCDC86
9	131217465	131263571	ODF2
14	64932217	64941221	AKAP5
6	27840926	27841289	HIST1H4L
1	1167629	1170421	B3GALT6
3	139328513	139328781	RN7SL724P
8	40010989	40012821	C8orf4
8	144519825	144623623	ZC3H3
15	42841008	42862192	HAUS2
7	42948872	42971773	PSMA2
20	123010	126392	DEFB126
11	60618413	60623444	PTGDR2
21	38738092	38889753	DYRK1A
10	95372345	95425767	PDE6C
X	122734412	122866906	THOC2
11	2323227	2339430	TSPAN32
6	35436185	35438562	RPL10A
17	36452989	36479101	MRPL45
14	64970430	65000408	ZBTB1
6	75962640	75994684	TMEM30A
8	40388109	40755352	ZMAT4
5	112312399	112356667	DCP2
17	61678231	61685725	TACO1
17	26880401	26898890	PIGS
19	8585674	8642461	MYO1F
6	106959730	107018326	AIM1
3	42846244	42929466	ACKR2
1	207277607	207318317	C4BPA
6	25912982	25930946	SLC17A2
19	44270685	44285409	KCNN4
12	54943134	54973023	PDE1B
3	132373290	132396941	UBA5
2	69622882	69664760	NFU1
7	76239303	76256578	POMZP3
10	81910645	81965328	ANXA11
3	9691117	9744077	MTMR14
2	172640880	172864766	SLC25A12
6	27858093	27860884	HIST1H3J
19	48248779	48260315	GLTSCR2
5	134869991	134871639	NEUROG1
5	34905369	34919094	RAD1
X	19007427	19140755	GPR64
6	163835032	163999628	QKI
19	19287712	19303400	MEF2BNB
6	27860477	27860963	HIST1H2AM
19	55851221	55859488	SUV420H2
2	198380295	198418423	MOB4
5	134906373	134914969	CXCL14
17	48609904	48621111	EPN3
8	144635377	144645232	GSDMD
15	59427113	59665099	MYO1E
7	42956460	42971822	PSMA2
2	176987088	176989853	HOXD9
1	52042851	52254889	OSBPL9
3	182895831	183146566	MCF2L2
1	1189289	1209265	UBE2J2
14	21457929	21465189	METTL17
4	25378835	25420120	ANAPC4
17	61699775	61773663	MAP3K3
5	14143811	14532235	TRIO
3	50378541	50384283	ZMYND10
20	8112824	8949003	PLCB1
2	71357444	71377231	MPHOSPH10
2	63815743	63834331	MDH1
22	19510547	19515068	CLDN5
6	37225548	37300746	TBC1D22B
2	153508107	153574511	PRPF40A
5	141488070	141534005	NDFIP1
22	30792846	30821305	SEC14L2
2	114462588	114514400	SLC35F5
21	38979678	39288749	KCNJ6
6	41737914	41754280	FRS3
HSCHR6_MHC_APD	30696223	30701448	TUBB
11	4701401	4719084	OR51E2
12	77157368	77247476	ZDHHC17
5	39105338	39274630	FYB
2	113403434	113421404	SLC20A1
8	17913934	17942494	ASAH1
21	39323728	39493454	DSCR4
9	21077104	21077943	IFNB1
11	60658202	60674060	PRPF19
11	4726157	5013659	MMP26
9	21140631	21142144	IFNW1
9	21165636	21166659	IFNA21
HG79_PATCH	136281597	136293579	REXO4
5	141689992	141706020	SPRY4
9	21186617	21187598	IFNA4
6	46761127	46807515	MEP1A
19	19303008	19312678	RFXANK
9	21201468	21202204	IFNA7
1	207494853	207534311	CD55
12	31226779	31257725	DDX11
3	113847499	113918254	DRD3
6	41748087	41757879	PRICKLE4
9	21227242	21228221	IFNA17
5	141971743	142077617	FGF1
16	1383602	1399439	BAIAP3
7	141627157	141646807	CLEC5A
9	21304613	21305312	IFNA5
11	837356	842545	POLR2L
22	19701987	19712295	SEPT5
9	21329670	21335379	KLHL9
HSCHR12_1_CTG1	120780	232475	IQSEC3
6	33378176	33384230	PHF1
HSCHR6_MHC_COX	31667522	31668998	LY6G6E
9	21349834	21351377	IFNA6
19	42502473	42573650	GRIK5
12	69004619	69054372	RAP1B
4	170907748	170954182	MFAP3L
13	37583449	37633850	SUPT20H
9	21384254	21385396	IFNA2
8	41119481	41167016	SFRP1
3	38492518	38496311	ACVR2B-AS1
2	137087011	137087483	UBBP1
3	96068398	96069783	HNRNPKP4
9	21409146	21410184	IFNA8
14	65002623	65009955	HSPA2
9	21440440	21441315	IFNA1
14	35221937	35344853	BAZ1A
11	66610306	66614017	RCE1
2	177001340	177037830	HOXD3
2	1792885	2335032	MYT1L
21	39529128	39679279	KCNJ15
4	74702214	74714781	CXCL6
HSCHR6_MHC_COX	31673784	31681900	C6orf25
6	107018903	107077373	RTN4IP1
14	99864083	99947216	SETD3
10	89419370	89507462	PAPSS2
12	56754353	56756607	APOF
1	150702672	150738433	CTSS
9	21802542	21931646	MTAP
6	43543887	43586701	POLH
3	185823457	186080026	DGKG
4	74718906	74719872	PF4V1
2	71409869	71454213	PAIP2B
10	127408084	127452712	EDRF1
5	112357796	112824527	MCC
16	30016830	30034591	DOC2A
8	41347915	41368499	GOLGA7
4	74735110	74736959	CXCL1
11	60681346	60690915	TMEM109
6	35441374	35464853	TEAD3
11	842808	867116	TSPAN4
20	277737	280965	ZCCHC3
17	18743398	18834581	PRPSAP2
4	74846794	74847841	PF4
X	153639854	153650065	TAZ
20	306207	310865	SOX12
16	68318406	68344849	SLC7A6OS
15	101821715	101835487	SNRPA1
4	74852755	74853914	PPBP
17	73269073	73285591	SLC25A19
18	28709199	28742819	DSC1
HSCHR6_MHC_COX	32084466	32094350	AGPAT1
12	56810903	56843187	TIMELESS
6	165740776	166400091	PDE10A
6	27861203	27861669	HIST1H2BO
2	202098166	202152434	CASP8
4	74861359	74864496	CXCL5
12	132195626	132284282	SFSWAP
6	27878963	27880174	OR2B2
11	60691935	60704631	TMEM132A
11	5172239	5207612	OR52A1
11	111652919	111742305	ALG9
20	327426	340304	NRSN2
2	121974163	122042783	TFCP2L1
4	74902306	74904524	CXCL3
9	131266979	131304567	GLE1
11	5246694	5250625	HBB
17	46103533	46115392	COPZ2
17	47778305	47786376	SLC35B1
11	66615704	66725847	PC
4	74962752	74965010	CXCL2
5	81569177	81574396	RPS23
12	66627859	66629014	RBMS1P1
10	26505236	26593487	GAD2
2	177015950	177017954	HOXD4
11	2397407	2418649	CD81
HSCHR6_MHC_COX	33139671	33161430	VPS52
6	27925019	27925960	OR2B6
12	88442793	88535993	CEP290
12	70760056	70828072	KCNMB4
2	177053307	177055688	HOXD1
21	39751949	40033704	ERG
15	59499042	59500705	LDHAL6B
17	8091652	8093564	C17orf59
18	28898052	28936992	DSG1
17	79506911	79520987	C17orf70
HG7_PATCH	142632169	142646705	TRPV6
22	30843946	30868036	SEC14L3
6	52842751	52860176	GSTA4
HSCHR6_MHC_SSTO	32000781	32027628	TNXB
4	74979891	75168816	MTHFD2L
9	21967751	21995300	CDKN2A
5	31532373	31555165	C5orf22
HSCHR6_MHC_APD	30703731	30706525	FLOT1
16	68344877	68392466	PRMT7
17	8108056	8113918	AURKB
2	177134123	177202753	MTX2
4	25656923	25680370	SLC34A2
11	12695969	12966298	TEAD1
12	8276228	8291203	CLEC4A
1	207627575	207663240	CR2
2	231032009	231090444	SP110
HSCHR6_MHC_APD	30861248	30865452	DDR1
16	26043860	26044132	HMGN2P3
7	150745379	150749843	ASIC3
10	117816444	118032979	GFRA1
HSCHR6_MHC_COX	31673838	31677035	LY6G6C
11	5253908	5256600	HBD
6	25963030	25987384	TRIM38
HG7_PATCH	142668776	142694414	TRPV5
1	24446261	24469611	IL22RA1
20	361261	378203	TRIB3
5	34915481	34926101	BRIX1
6	166571144	166582188	T
19	55875757	55881831	IL11
17	21279509	21323179	KCNJ12
3	13573824	13679922	FBLN2
5	135227935	135231516	IL9
HG7_PATCH	142701710	142723277	KEL
1	150768684	150780799	CTSK
16	1399241	1401912	TSR3
19	42572629	42585701	ZNF574
10	71812552	71872036	H2AFY2
3	137842560	137851229	A4GNT
6	76311225	76427997	SENP6
9	22002902	22009362	CDKN2B
4	174089904	174245118	GALNT7
Y	24455006	24467972	RBMY2FP
20	9049410	9461889	PLCB4
16	28190419	28190544	SNORA25
11	65306276	65326401	LTBP3
5	68856035	68890550	GTF2H2C
3	113953483	113956425	ZNF80
2	110841447	110874143	MALL
19	44416781	44439430	ZNF45
3	137879854	137893791	DBR1
17	46125691	46138849	NFE2L1
1	1215816	1227409	SCNN1D
5	127873706	128369335	SLC27A6
14	65170820	65213610	PLEKHG3
HG388_HG400_PATCH	111597632	111637151	PPP2R1B
11	60704556	60720002	SLC15A3
20	388142	411610	RBCK1
7	138145079	138274738	TRIM24
10	93835999	93836122	SNORA25
6	26017260	26018040	HIST1H1A
HSCHR6_MHC_APD	31477173	31490193	MICB
5	132196873	132202576	GDF9
6	10694928	10710015	PAK1IP1
9	23690102	23826335	ELAVL2
18	29027758	29058665	DSG3
10	45454855	45491339	RASSF4
HG79_PATCH	136289893	136334921	ADAMTS13
6	26020718	26021186	HIST1H3A
17	18414576	18429244	USP32P2
12	132312938	132336328	MMP17
21	40177231	40196879	ETS2
6	37321748	37362514	RNF8
8	41386725	41402565	GINS4
7	111846643	111983151	ZNF277
17	4402133	4442330	SPNS2
3	9773413	9789702	BRPF1
6	166778407	166796486	MPC1
HSCHR18_1_CTG1_1	47901365	47920543	SKA1
11	111657010	111750149	ALG9
17	49230897	49239789	NME1
6	26021907	26022278	HIST1H4A
6	28048753	28057341	ZNF165
17	72983727	73001895	CDR2L
6	26027124	26027480	HIST1H4B
19	44455375	44471861	ZNF221
2	105471969	105476929	POU3F3
18	29078006	29128971	DSG2
7	43152198	43605600	HECW1
19	55896713	55914612	RPL28
6	28092338	28097860	ZSCAN16
12	70910630	71031220	PTPRB
6	35465651	35480715	TULP1
6	26031817	26032288	HIST1H3B
2	110879888	110962643	NPHP1
6	46820249	46922680	GPR116
11	13298199	13408813	ARNTL
19	44472014	44502477	ZNF155
2	71503691	71662199	ZNF638
22	19744226	19771116	TBX1
22	30918786	30942669	SEC14L6
15	101840818	102065405	PCSK6
12	112563305	112591407	TRAFD1
21	40546695	40555777	PSMG1
6	26033320	26033796	HIST1H2AB
3	133118839	133194066	BFSP2
17	26900133	26904282	ALDOC
17	61773262	61778532	LIMD2
16	28711615	28712861	CDC37P1
19	42590263	42700737	POU2F2
14	77924213	77935817	AHSA1
4	110967002	111120355	ELOVL6
3	50384761	50388522	NPRL2
9	26840683	26892802	CAAP1
17	73008765	73017356	ICT1
18	29171689	29178974	TTR
HG388_HG400_PATCH	111652919	111742304	ALG9
4	174252846	174256276	HMGB2
6	43573053	43596899	GTPBP2
6	26043455	26043885	HIST1H2BB
11	66624118	66627946	LRFN4
17	79523913	79615495	NPLOC4
16	1413206	1464752	UNKL
6	166822852	167319939	RPS6KA2
11	5274420	5667019	HBG2
HSCHR6_MHC_APD	31509287	31518252	DDX39B
6	107077453	107116292	QRSL1
3	114056941	114866118	ZBTB20
1	207669492	207813992	CR1
5	135257968	135290723	LECT2
X	19362011	19379823	PDHA1
13	38136720	38172981	POSTN
19	19322782	19363042	NCAN
15	34158428	34331377	AVEN
4	174291120	174298683	SAP30
15	59887074	59932438	GCNT3
22	30950622	30970574	GAL3ST1
4	111286889	111486441	ENPEP
HSCHR5_1_CTG2	94039446	94636885	MCTP1
X	77385245	77395203	TAF9B
11	66774249	66818334	SYT12
10	7792925	7829990	KIN
9	26904081	26947461	PLAA
4	75230860	75254468	EREG
10	89511269	89601100	ATAD1
6	37400995	37450603	CMTR1
HSCHR6_MHC_COX	32094614	32097047	RNF5
9	131314866	131395941	SPTAN1
18	29202210	29265799	B4GALT6
12	121746048	121837699	ANAPC5
HSCHR6_MHC_QBL	30610400	30630349	DHX16
19	44507100	44518078	ZNF230
7	4815253	4833943	AP5Z1
22	19770747	19842462	GNB1L
12	54969171	54982443	PPP1R1A
4	75310851	75320726	AREG
11	60739115	60787849	CD6
17	4442192	4458926	MYBBP1A
15	59930261	59949740	GTF2A2
HG7_PATCH	141987080	141991423	PRSS3P3
5	132202252	132203723	UQCRQ
HG7_PATCH	142094141	142094414	TRBV5-2
6	26045639	26046097	HIST1H3C
17	25621102	25640657	WSB1
2	172778958	172848599	HAT1
3	182971032	183016292	B3GNT5
11	111749659	111756699	C11orf1
11	5289582	5526847	HBE1
7	76822688	76829143	FGL2
5	142149949	142608576	ARHGAP26
6	26055968	26056699	HIST1H1C
HSCHR6_MHC_COX	31682228	31685807	DDAH2
2	24714783	24993571	NCOA1
